epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,1082.02,0.30297,0.43776,0.38792,0.8609,0.5641,0.79875,0.6608,0.60555,0.5641,0.79875,0.6608,0.6196,0.44801,0.71988,1.18318,1.10347,0.00033425,0.00033425,0.00033425
113,1091.03,0.29493,0.39069,0.37739,0.85534,0.63465,0.6758,0.65537,0.60155,0.63465,0.6758,0.65683,0.60801,0.43235,0.72285,1.2125,1.07306,0.000326,0.000326,0.000326
114,1100.04,0.31977,0.3881,0.41254,0.87888,0.61558,0.68433,0.6601,0.60273,0.61558,0.68433,0.66171,0.6138,0.42032,0.71665,1.18908,1.06818,0.00031775,0.00031775,0.00031775
115,1109.14,0.29814,0.36942,0.37884,0.86993,0.5969,0.66082,0.6688,0.61306,0.5969,0.66082,0.67283,0.63099,0.4072,0.69332,1.18667,1.05262,0.0003095,0.0003095,0.0003095
116,1118.11,0.31673,0.39257,0.3911,0.88243,0.56165,0.74846,0.68568,0.64684,0.56165,0.74846,0.69033,0.64352,0.37827,0.66396,1.31408,1.00726,0.00030125,0.00030125,0.00030125
117,1127.07,0.28764,0.37719,0.33131,0.86171,0.55852,0.66869,0.64969,0.6012,0.55852,0.66869,0.6528,0.61355,0.39234,0.64105,1.41112,1.02051,0.000293,0.000293,0.000293
118,1136,0.30568,0.39938,0.37253,0.86784,0.56214,0.65026,0.62685,0.58201,0.56214,0.65026,0.63033,0.59231,0.37996,0.64869,1.40597,1.01602,0.00028475,0.00028475,0.00028475
119,1144.95,0.27963,0.35641,0.35175,0.85634,0.5805,0.69956,0.64998,0.60365,0.5805,0.69956,0.65444,0.61789,0.38361,0.63841,1.24837,1.01163,0.0002765,0.0002765,0.0002765
120,1153.9,0.28949,0.35885,0.33964,0.87357,0.60562,0.65394,0.65349,0.60862,0.60562,0.65394,0.65905,0.61672,0.41044,0.65342,1.24441,1.03879,0.00026825,0.00026825,0.00026825
121,1162.88,0.28183,0.34218,0.31689,0.86368,0.5798,0.72359,0.6709,0.62254,0.5798,0.72359,0.67564,0.63123,0.43148,0.67059,1.23456,1.04831,0.00026,0.00026,0.00026
